seqlen_q,seqlen_kv,topk,baseline_median_ms,candidate_median_ms,candidate_over_baseline,candidate_speedup_percent,baseline_tflops,candidate_tflops
2048,2048,128,0.5556032180786132,0.5746880054473877,1.0343496703182777,-3.4349670318277736,309.21111730438525,298.9425396241858
2048,2048,512,1.2632736206054687,1.2662943840026855,1.002391218614831,-0.23912186148309367,543.9793534441394,542.6816829020562
2048,2048,1024,2.237593650817871,2.223718452453613,0.9937990535684679,0.6200946431532128,614.2265974957704,618.0591491713
2048,2048,2048,4.321775817871094,4.275872039794922,0.989378491617646,1.0621508382353984,636.0299990743267,642.8581220058765
4096,4096,128,1.0582976341247559,1.0929408073425293,1.0327348111728742,-3.2734811172874245,324.66989682365244,314.3787672412492
4096,4096,512,2.5794656753540037,2.595667266845703,1.0062809874333667,-0.6280987433366692,532.8194702693146,529.4937268250798
4096,4096,1024,4.600783920288086,4.584451293945312,0.9964500340320807,0.3549965967919344,597.4588498535443,599.5873645926426
4096,4096,2048,8.625682830810547,8.604300689697265,0.9975211074261964,0.2478892573803626,637.3475870504967,638.9314294260707
8192,8192,128,2.092265510559082,2.1570016860961916,1.0309407076732873,-3.094070767328727,328.4452971632516,318.58796021792006
8192,8192,512,5.138800048828125,5.166672134399414,1.0054238509586777,-0.5423850958677701,534.9067960071425,532.0211923529621
8192,8192,1024,9.192160034179688,9.157628631591797,0.9962433854002224,0.3756614599777608,598.0703249767349,600.3255165769267
8192,8192,2048,17.254374694824218,17.210429382324218,0.9974530915621542,0.2546908437845774,637.2364384238275,638.8635654292515
16384,16384,128,4.410867309570312,4.565075302124024,1.0349609230409458,-3.496092304094578,311.59167534647224,301.06612569578607
16384,16384,512,10.368553924560548,10.441072082519531,1.0069940474329024,-0.6994047432902439,530.2145486129594,526.5319591159633
16384,16384,1024,18.430642700195314,18.422044372558595,0.9995334765164414,0.04665234835585785,596.567165704074,596.8456081963564
16384,16384,2048,34.737771606445314,34.638580322265625,0.997144569740873,0.28554302591270453,633.0352103368626,634.8479744530613
